IDIndikator;skrIndikator;IDTer;nTer;IDVrPod;nVrPod;nPol;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
18030802IND01;Пројекције становништва по општинама;70645;Крагујевац;1;Базна популација - процене становништва средином 2011.  године;Укупно;179439;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71013;Рача;1;Базна популација - процене становништва средином 2011.  године;Укупно;11512;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71153;Топола;1;Базна популација - процене становништва средином 2011.  године;Укупно;22333;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71277;Лапово;1;Базна популација - процене становништва средином 2011.  године;Укупно;7842;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70327;Бор;1;Базна популација - процене становништва средином 2011.  године;Укупно;48682;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70572;Кладово;1;Базна популација - процене становништва средином 2011.  године;Укупно;20691;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70785;Мајданпек;1;Базна популација - процене становништва средином 2011.  године;Укупно;18748;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70840;Неготин;1;Базна популација - процене становништва средином 2011.  године;Укупно;37164;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70394;Велико Градиште;1;Базна популација - процене становништва средином 2011.  године;Укупно;17637;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70475;Голубац;1;Базна популација - процене становништва средином 2011.  године;Укупно;8337;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70521;Жабари;1;Базна популација - процене становништва средином 2011.  године;Укупно;11395;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70530;Жагубица;1;Базна популација - процене становништва средином 2011.  године;Укупно;12756;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70696;Кучево;1;Базна популација - процене становништва средином 2011.  године;Укупно;15548;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70807;Мало Црниће;1;Базна популација - процене становништва средином 2011.  године;Укупно;11494;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70912;Петровац на Млави;1;Базна популација - процене становништва средином 2011.  године;Укупно;31331;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;79049;Пожаревац;1;Базна популација - процене становништва средином 2011.  године;Укупно;75362;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70319;Бољевац;1;Базна популација - процене становништва средином 2011.  године;Укупно;13000;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70556;Зајечар;1;Базна популација - процене становништва средином 2011.  године;Укупно;59578;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70602;Књажевац;1;Базна популација - процене становништва средином 2011.  године;Укупно;31603;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71129;Сокобања;1;Базна популација - процене становништва средином 2011.  године;Укупно;16035;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70297;Бојник;1;Базна популација - процене становништва средином 2011.  године;Укупно;11113;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70424;Власотинце;1;Базна популација - процене становништва средином 2011.  године;Укупно;29957;A;Коначан податак;F;Слободан за објављивање;;
